department,disease,question,answer,page_url
精神心理科,抑郁症,抑郁症药物副作用,抗抑郁症药物副作用会出现口干腹泻便秘等等，这些副作用都与去甲肾上腺素作用水平有关系。会导致患者情绪低落，思维迟缓，抑制活动减退，有一些药物还会出现嗜睡，性功能障碍等一些不良的反应，但是抑郁症治疗明显会有好转，不过规范合理的简要之后，这些不良反应都是可以消失的，不会对身体造成不良的影响。,https://www.familydoctor.com.cn/q/18759575.html
精神心理科,抑郁症,怀孕期间会的抑郁症吗,有的女性在怀孕期间会出现抑郁症的情况，这是因为，怀孕初期会有一些严重的妊娠反应，比如恶心，呕吐，小腹不适，食欲不振，这样肯定会引起心情不好的的，而且怀孕12周之前也不要有性生活的的，所以心理上也会有一些压力的，这样时间长了，就会产生抑郁症的。,https://www.familydoctor.com.cn/q/18935596.html
精神心理科,抑郁症,请问要怎么确诊抑郁症啊,可以做促甲状腺素释放激素抑制的试验，或者是地塞米松抑制试验。根据检查结果，选择综合治疗，如心理治疗，物理治疗或者药物治疗。要放松心情，多参加锻炼，减轻抑郁的情绪。可用抗抑郁药和抗精神病药联合使用，有助于增强疗效。要保证充足的睡眠时间，生活要有规律，注意劳逸结合。,https://www.familydoctor.com.cn/q/18792783.html
精神心理科,抑郁症,抑郁症都有哪些症状,抑郁症的症状一定是在心情低落的基础上出现别的表现。比如很多人会有愉快感的丧失或者兴趣爱好的减退。原来喜欢做的一些事情，在抑郁的时候，都没有了兴趣，每天会觉得闷闷不乐疲乏，没有原因的去哭泣，然而会觉得脑子反应速度变得非常慢。感觉不清晰，意力下降，工作效率下降，体重的下降。,https://www.familydoctor.com.cn/q/18920023.html
精神心理科,抑郁症,瑜伽可以治好抑郁症吗,瑜伽还可以治疗抑郁症。瑜伽是日常生活中很常见的一种健身活动，经常练习瑜伽不仅会给的身体带来健康，而且还具有减肥的功效。瑜伽还可以治疗抑郁症，可以采用一些侧三角式，半月式和骆驼式的动作，瑜伽在抑郁症治疗中发挥作用的结论。每周做两次瑜伽，持续一段时间后会有明显的减少，瑜伽作为治疗抑郁症的方法引起更多的人关注。,https://www.familydoctor.com.cn/q/18920044.html
精神心理科,抑郁症,孕妇心情不好对胎儿到底有什么影响?,孕妇情绪不好对胎儿的影响主要体现在这几方面：1可能会对宝宝的头脑发育造成影响，如果经常发脾气，可能会使宝宝的智力低下。2对宝宝的性格方面也有一定的影响，孕期长时间情绪波不佳可能会导致宝宝出生以后暴躁易怒。3会直接影响到胎儿的健康发育，情绪波动太大还可能会导致流产。,https://www.familydoctor.com.cn/q/18817119.html
精神心理科,抑郁症,为什么有时候，会莫名其妙的心情不好？,莫名其妙的出现，心情不好，或者是发脾气等，有可能是受自身内分泌影响，比如在月经来潮前期就会导致出现情绪低落，想发脾气等情况，这些都是受体内激素影响导致的，一般可以受自己的控制，等到月经来潮之后症状就会明显好转，但也不能排除是出现了精神疾病，精神疾病是不受自身控制的。,https://www.familydoctor.com.cn/q/18813969.html
精神心理科,抑郁症,抑郁症的心理疗法,抑郁症的心理疗法，可以同时联合药物治疗，有助于增加疗效，比如说支持性心理治疗，精神动力学治疗，认知行为治疗等。药物治疗可用抗抑郁的药物。做好日常防护，对患者要进行预防性治疗，发作三次以上要终身服用药物，要定期到医院复查。要避免各种心理压力，调整好心态。,https://www.familydoctor.com.cn/q/18794875.html
精神心理科,抑郁症,抑郁症怎么治疗?是否可以治愈?,临床上对抑郁症的治疗方式主要是采取心理疏导治疗和药物治疗，抑郁症是可以治愈的，抑郁症的治愈率与选择的治疗方式有直接的关系，通常采取心理学的精神分析疗法，认知行为疗法等能够从根本上来调整患者的思维方式，可以很好的消除抑郁症，但是药物治疗的话可能容易反复。,https://www.familydoctor.com.cn/q/18725556.html
精神心理科,抑郁症,抑郁症的症状有哪些表现,抑郁症的症状是情绪低落，对什么事情都不感兴趣，反应迟钝，有时还出现严重的失眠，出现情绪失控的现象，严重了，有时还会出现嗜睡轻生的念头，所以最好还是要吃药治疗一下，或者是去心理咨询师那里看一下，因为抑郁症是属于严重的心理疾病，治疗不好的话，会影响整个的身心健康。,https://www.familydoctor.com.cn/q/18936700.html
精神心理科,抑郁症,感觉自己有轻度抑郁症怎么办啊,首先抑郁有很多评估判断的方式，这个不能光通过自己的感觉来判断，你可以借助于抑郁心理测验自测一下，能够更好反映抑郁水平，另外就是如果是轻度抑郁水平的话，也不用担心，因为处于轻度抑郁状态你自身是可以很好的去调整的，比如说你自己开始安排时间，强迫自己多恢复运动，恢复交际。,https://www.familydoctor.com.cn/q/18773097.html
精神心理科,抑郁症,处女情结严重该怎么办,女性出现感情越轨情结，对方情绪和心理是可以理解的，尤其是自己在特别爱对方的情况下，突然发现感情越轨，对另一方打击肯定是非常大，但是感情不能勉强，必须是双方的自愿，愉悦，如果只要有一方不是情愿，也不要勉强，强扭的瓜不甜，可以把它好好珍藏在心里，如果爱对方就让对方幸福，放手才是正确选择。,https://www.familydoctor.com.cn/q/18814467.html
精神心理科,抑郁症,老是感觉缺氧，一直要深呼吸,患者出现所述症状有可能是因为呼吸疾病所导致的，还有可能是因为受凉，或者压力太大、睡眠不足等引起的。建议患者注意休息，不要熬夜。同时也要避免压力过大，要多喝水，多吃新鲜水果蔬菜，适当的进行运动。如果反复出现这种症状，就要去正规医院完善检查，排除一下支气管炎症或者是哮喘的疾病。,https://www.familydoctor.com.cn/q/18850755.html
精神心理科,抑郁症,抑郁症的前兆,抑郁症的情境主要表现为心境低落或者是思维迟缓。患有抑郁症的患者主要表现为显著而且比较持久的情感低落，感到郁闷和悲观，病情轻的患者会觉得闷闷不乐，没有任何快乐感，病情严重的患者就会觉得痛不欲生，对任何事物都觉得很绝望，度日如年，患者也会语言变得减少，严重的甚至无法顺利的进行交流。,https://www.familydoctor.com.cn/q/18758300.html
精神心理科,抑郁症,产前抑郁该怎么办,产前抑郁通常主要还是心理调节，如果抑郁比较严重，怀孕前期和中期阶段这个可以通过专业心理医生疏导调节为主，在怀孕末期阶段因为胎儿已经基本成长成熟，这个期间药物的影响不是很大，可以医生指导来服用药物治疗，整个过程孕妈妈的自身调节也很重要，建议尝试和身边的人多去倾诉沟通。,https://www.familydoctor.com.cn/q/18717772.html
精神心理科,抑郁症,抑郁症的治疗方式,抑郁症可以西医治疗。抑郁发作往往有复发倾向，因此治疗目的就是控制急性发作和预防复发，抑郁病人因严防自杀或自伤，有自杀观念强烈应果断的实施电痉挛治疗，病情稳定后再用药物维持和巩固，还可以用抗抑郁药治疗，用足够剂量至症状消失，精神病性抑郁单用抗抑郁药效果可能不理想，往往需要配合抗精神病药。,https://www.familydoctor.com.cn/q/18920077.html
精神心理科,抑郁症,抑郁症能治愈吗,绝大数抑郁症治疗效果较好，可以治愈。度抑郁症是可完全治愈的，多数情况下，抑郁症需要药物治疗，心理治疗，物理治疗。首先应该面对自己的问题，有病就医，药物可以迅速的改善情绪和生理症状，对于很多抑郁症患者。对自己的康复带有一种不正常的绝望，认为自己的抑郁是无法治愈的。通过医生的治疗抑郁还是可以得到有效的缓解。,https://www.familydoctor.com.cn/q/18920021.html
精神心理科,抑郁症,轻度抑郁症如何治疗？,通常轻度的抑郁症可以先尝试自我调节去克服，因为轻度抑郁症通常可以维持正常的力量去生活工作，这个也是完全有可以自我调整的力量，建议尝试给每天的时间做个安排，要安排时间多去运动，多去和朋友们相处，最好是多参加一些集体活动，并且定期的旅游散心，只要去做出这些事情就一定会改善。,https://www.familydoctor.com.cn/q/18718022.html
精神心理科,抑郁症,什么是产褥期综合症？,分娩后产褥期由于产妇的身体比较虚弱，身体的免疫力比较低，这种情况很容易造成一些病原菌的感染，造成一定的产褥期感染的情况的发生的，这种情况表现是多种多样的，比方说有一定的乳腺炎，或者是有一定的盆腔炎等情况，或者是有一定的妇科炎症，所以发现问题，及时治疗。,https://www.familydoctor.com.cn/q/18870003.html
精神心理科,抑郁症,抑郁症多久能恢复正常,抑郁症需要半年以上才能恢复正常，抑郁症的恢复时间取决于抑郁症的严重程度以及是否是慢性化的。如果是轻到中度的抑郁症以及部分的中度抑郁症，患者在服用药物以及心理治疗后，两到四周内症状就可以得到缓解，患有抑郁症的患者需要及时的治疗才能有较好的效果，但是对于反复发作的或者是慢性的起效时间，可能会在三个月以上甚至是更长的时间。,https://www.familydoctor.com.cn/q/18758217.html
精神心理科,抑郁症,抑郁症会遗传的吗？,抑郁症患者有家族聚集现象，因此抑郁症通常被认为有一定的遗传，但没有发现特定的基因。大多数抑郁症仍然是由后天刺激、长期压力等因素引起的.轻度抑郁症的治疗主要是心理治疗，接受心理咨询治疗的专业精神科医生可以很好的根除。而经过专业心理治疗后，患者可以建立良好的心理状态，预防其他精神疾病。,https://www.familydoctor.com.cn/q/18937105.html
精神心理科,抑郁症,如何治愈抑郁症？,治疗抑郁症的主要是药物治疗。药物治疗主要针对中度和重度抑郁症患者。药物治疗在临床上得到了广泛的应用。还有心理治疗。心理治疗对于抑郁症患者是一种非常有效的治疗方法。在临床上，对于轻度抑郁症患者，主要是心理治疗，如认知行为治疗、人际关系治疗等。认知行为疗法，主要是改善患者不合理的认知模式，进行认知重建，建立正常正确的认知模式。,https://www.familydoctor.com.cn/q/18937241.html
精神心理科,抑郁症,焦虑症和抑郁症的治疗,你好，轻度的焦虑症和抑郁症，一般以心理治疗和物理治疗方法为主。如果发展到严重焦虑抑郁，需要用药治疗，治疗焦虑症，抑郁症的药物有舍曲林，文拉法辛，度洛西汀，西酞普兰，艾斯西酞普兰，氟西汀等，需要有耐心当病情控制后，需要在医生指导下在服用一段时间，慢慢停药。,https://www.familydoctor.com.cn/q/18935340.html
精神心理科,抑郁症,得了重度抑郁症怎么治疗,抑郁症属于一种心理疾病，最好还是要去心理咨询师那里看一下，有重度的抑郁症，平时一定要注意控制好自己的情绪，多出去走走，散散心，多参加一些有意义的活动，不要总把事情放在心上，简单就好，而且也不要过多的想事情，适当的吃些抑郁症的药物，每天有个好的心态。,https://www.familydoctor.com.cn/q/18934908.html
精神心理科,抑郁症,抑郁症症状的表现？,抑郁症也是一种心理疾病，它的主要表现是，情绪低落，对什么事情都不感兴趣，记忆力减退，有时注意力不集中，有时还出现严重的失眠，嗜睡的情况，有时因为心情原因还会出现轻生的念头，所以平时一定要注意控制好自己的情绪，多出去走走，散散心，多参加一些有意义的活动，或者是去心理咨询师那里看一下。,https://www.familydoctor.com.cn/q/18934516.html
精神心理科,抑郁症,抑郁症与焦虑症的区别在哪,抑郁症和焦虑症区别在于抑郁症是有自杀厌世倾向，焦虑症是对自己生活感到焦虑不安并伴有烦躁情绪。患者的症状是一种焦虑不安，持续的静不下来，抑郁的患者有自杀的观念，有自杀的倾向，有想死的想法。焦虑的患者恰恰相反，经常考虑到自己如果疾病加重死亡会怎么样，更多的是怕死的焦虑状态，所以焦虑是怕死，而抑郁症是想死。,https://www.familydoctor.com.cn/q/18920053.html
精神心理科,抑郁症,我老是心情不好怎么办,现代社会中工作和生活的压力，还有复杂的人际关系，都让人喘不过气来。从而出现一些忧伤、愤怒、担忧和害怕的负面情绪，如果长期处于这种情绪下就会产生一系列的心理问题，这个时候就需要给情绪排排毒。日常生活中可以通过按摩的方法来进行排毒，按摩照海穴、印堂穴、内关穴、心俞穴、肝俞穴等。,https://www.familydoctor.com.cn/q/18896825.html
精神心理科,抑郁症,抑郁症患者该如何自救,抑郁症患者在自我调节上应该注意以下方面：平时多培养一些积极的兴趣爱好来充实自己的生活，每天要坚持进行适度的体育锻炼。多与亲人或者朋友进行沟通交流，遇到事情多想其积极乐观的一面，千万不要给自己太大的精神压力。如果自我调节的效果不好，一定要尽早就诊于正规医院的心理门诊，接受系统的心理治疗，以免问题发展严重。,https://www.familydoctor.com.cn/q/18892454.html
精神心理科,抑郁症,米氮平片可以经常吃吗,您好，这是抗抑郁的药物，需要按医师要求规律服药。抑郁症的治疗首先是自我调整，如果无效可以药物辅助治疗。服药期间从低剂量开始，控制症状后维持一段时间，病情稳定后逐渐缓慢减量，直至停药。服药期间需要控制好情绪，多户外运动，放松心情，保持生活规律，避免精神刺激。,https://www.familydoctor.com.cn/q/18863891.html
精神心理科,抑郁症,抑郁症是什么病？,抑郁症是社会上比较常见的一种精神性疾病。主要是长时间的处于一种闷闷不乐，严重的时候，甚至会有悲观欲绝，痛不欲生，甚至还有一部分人想结束自己生命的。因此有抑郁症的话一定要引起高度的重视。抑郁症的人不是单纯的心情问题，也有可能出现很多身体的表现，比如身体各个部位的疼痛，胃口下降，睡眠质量差，全身乏力，思维反应比较迟钝等等。,https://www.familydoctor.com.cn/q/18855585.html
精神心理科,抑郁症,孩子心情不好会影响身体健康吗？,孩子如果心情不好，当然会影响身体的健康，人身体是一个整体，任何一个脏器病变都有可能会对其他的身体功能产生影响，同样的心理因素出现问题可以导致神经功能紊乱，所以就会对内脏调理出现副作用，比如心情不好可以导致胸闷气短，心慌乏力，也会引起消化不良等。,https://www.familydoctor.com.cn/q/18849076.html
精神心理科,抑郁症,怎么对待抑郁症患者？,抑郁症属于较为严重的一种心理疾病，并非是患者单纯性的心病，由于患者往往缺乏自制力，无法主动进行求医治疗，作为患者亲属或者是监护神应该注重心理治疗，不仅从心理上关心患者实际病情，同时也要督促患者及时就医，对于治疗期间的抑郁症患者需要给予一定的帮助，增强其自信。,https://www.familydoctor.com.cn/q/18840077.html
精神心理科,抑郁症,抑郁症如何治疗,目前对抑郁症的治疗主要靠药物维持改善病情，很多即使治疗后好转也不建议停药，往往需要终身服用药物控制。以三环类抗抑郁药最常用，可医生指导下使用。另方面家人的爱护关怀是必不可少，要经常带患者出去活动，多进行亲戚朋友聚会改善心境。总之别受到过激言语伤害。,https://www.familydoctor.com.cn/q/18819801.html
精神心理科,抑郁症,患有抑郁症怎么办？,如果抑郁症状较严重，需要在医生的指导下服用抗抑郁的药物加以治疗，并且同时接受系统的心理辅导。如果症状较轻，可以在接受心理辅导的同时，通过积极的自我调节来改善症状：平时培养一些良好的兴趣爱好，坚持进行适度的体育锻炼，多与人沟通交流，多想事物积极乐观的一面，不要过于自我压抑。,https://www.familydoctor.com.cn/q/18812101.html
精神心理科,抑郁症,得了抑郁症怎么办,如果抑郁症状较严重，需要在医生的指导下合理的服用一些抗抑郁的药物来治疗，并且同时接受系统的心理辅导。如果症状较轻，可以在接受心理治疗的同时，通过积极的自我调节来帮助改善症状。平时培养一些良好的兴趣爱好，坚持进行适度的体育锻炼，多与人沟通交流，多想事物积极乐观的一面，不要过于自我压抑。,https://www.familydoctor.com.cn/q/18799120.html
精神心理科,抑郁症,情绪低落是不是抑郁症啊,如果仅仅出现情绪低落，并不能确定为抑郁症，这也有可能是由于近期不愉快的经历所导致的负面情绪。典型的抑郁症表现是：显著而且持久的情绪低落、悲观抑郁、对于任何事物不感兴趣、逃避人际交往、认知能力受到损害、意志活动减退、思维联想缓慢，有时还会伴有一些躯体症状。如果出现了以上的情况，建议接受系统的心理治疗。,https://www.familydoctor.com.cn/q/18797400.html
精神心理科,抑郁症,抑郁症应该怎么治疗,如果抑郁症状较严重，建议在医生的指导下合理的服用抗抑郁的药物加以治疗，并且定期接受系统的心理辅导。如果症状较轻，可以通过接受心理辅导与自我调节的方式来帮助改善症状，平时培养一些良好的兴趣爱好，每天坚持进行适度的体育锻炼，多与亲人或朋友进行沟通交流，多想事物积极乐观的一面，不要过于自我压抑。,https://www.familydoctor.com.cn/q/18796611.html
精神心理科,抑郁症,抑郁症有哪些症状怎么治疗,抑郁症的典型症状是：显著而且持久的情绪低落、悲观、抑郁、对任何事物都没有兴趣、逃避人际交往、认知能力受到损害、思维联想缓慢、意志活动减退，有时还会伴有一些躯体症状，例如头疼、头晕、厌食、体重下降、睡眠障碍等。如果抑郁症较严重，需要在医生的指导下服用抗抑郁的药物，并同时接受系统的心理辅导来治疗。,https://www.familydoctor.com.cn/q/18796005.html
精神心理科,抑郁症,您好，请问抑郁症怎么治疗,如果抑郁症状比较严重，需要在医生的指导下合理的服用抗抑郁的药物加以治疗，并且定期接受系统的心理辅导。如果症状较轻，可以在接受心理辅导的同时，进行积极的自我调节来帮助改善。平时培养一些良好的兴趣爱好，坚持进行适度的体育锻炼，多与人沟通交流，多想事物积极乐观的一面，不要过于自我压抑。,https://www.familydoctor.com.cn/q/18792204.html
精神心理科,抑郁症,当一个人心情不好的时候怎么办?,如果出现心情不好的情况，建议首先找到影响情绪的原因，如果能够解决问题，心情就会有所改善。如果解决不了，建议你不要过多的去想这些不愉快，可以通过一些健康的方式来发泄，或者做一些让自己感到轻松的事情，例如找朋友倾诉、做运动、听音乐、大喊、看电影等。,https://www.familydoctor.com.cn/q/18781829.html
精神心理科,抑郁症,抑郁症应该去医院挂什么科,抑郁症需要去医院看精神科，根据病情来选择抗抑郁症的药物进行治疗，尤其注意睡眠时间要充足，避免情绪精神刺激，可以到精神科进行就诊，出现了抑郁症，必须要注意观察是否有精神打击，可以选择口服黛力新进行治疗，到医院的精神科进行就诊，根据病情来选择治疗方式。,https://www.familydoctor.com.cn/q/18771534.html
精神心理科,抑郁症,出现忧郁症焦虑症能治愈吗?,抑郁症和焦虑症都是可以治愈的，但是治疗一定要专业，并且要靠患者的积极配合，加上日常的自我调节。当出现抑郁症和焦虑症的时候尽量不要拖延，因为拖延会导致更加难以治疗，所以在早期阶段就建议去心理科接受一些专业的比如说认知疗法调整再结合日常的一些规律运动，必要的话也可以吃点药物调节。,https://www.familydoctor.com.cn/q/18770623.html
精神心理科,抑郁症,我是不是得抑郁症了？,要明确是否有抑郁症，这种情况必须要到医院进行心理方面的检查才能够初步明确，同时也结合患者的具体症状来进行明确，通常一些抑郁症的患者会有一定的情绪低落，同时也会有严重的失眠，不喜欢和别人进行接触，严重情况下还会有一定的自杀倾向，主要就是进行应用抗抑郁的药物，配合进行心理疏导。,https://www.familydoctor.com.cn/q/18766153.html
精神心理科,抑郁症,加味逍遥丸能治抑郁症吗,这个对于抑郁症的调节治疗是有好处的，因为这个主要是可以帮助调理肝脾，并且能够改善肝郁血虚等的情况，因为中医判断抑郁症就多是肝郁气滞，肝脾失和等原因。不过通常中药对于抑郁症的调理，过程比较缓慢，尽量还是针对抑郁症直接采取心理疏导调整认知的方式改善比较好。,https://www.familydoctor.com.cn/q/18762794.html
精神心理科,抑郁症,抑郁症严重吗,抑郁症的严重程度分等级的，一般分为轻度，中度和重度，达到中度和重度都说明抑郁症已经比较严重了，对生活的影响也是比较大，但是通常轻度抑郁症患者自己还是具备自我调节能力的，通常通过合理自我调节可以逐渐改善恢复，但是达到中度或者是以上的抑郁症，建议不要拖延，应该考虑去心理科室就诊专业治疗。,https://www.familydoctor.com.cn/q/18740625.html
精神心理科,抑郁症,抑郁症患者服药期间能生孩子吗？,抑郁症病人服药期间是不建议怀孕的，因为这些抗抑郁的药物，比如说三环类抗抑郁药物以及五羟色胺再摄取抑制剂类的药物，都是会影响胎儿的生长发育的，尤其是对大脑的生长发育都是会有不良影响的，所以建议抑郁症病人一般先规范用药治疗，病情好转停药后再考虑生小孩。,https://www.familydoctor.com.cn/q/18740421.html
精神心理科,抑郁症,心情不好到导致食欲不振，会不会得抑郁,跟前男友吵架导致分手，三年的感情最后一无所有，心情不好食欲不振是有现实原因的，需要及时的调整自己的心态，慢慢的从悲伤的情绪中走出来。要学会转移注意力，给自己的工作生活制定一个目标，把自己的时间安排满满的，把注意力放在当下，放在自己该做的事情上，让自己忙碌起来，减少沉浸在过去痛苦回忆的时间，生活充实起来了，人活跃起来了，食欲和心情，一切都会慢慢好起来。,https://www.familydoctor.com.cn/q/18738439.html
精神心理科,抑郁症,问一下黛力新是治疗哪种类型的抑郁症,这个药物对于各类抑郁都有很好的治疗效果的，包括对焦虑或者是疑病，强迫等神经症也有很好的治疗效果，但是这个药物的具体服用过程以及服用剂量以及剂量的调整都是需要就诊后医生来综合指导进行的。对于抑郁症本身除了可以通过这个药物调理，还应该考虑进行心理疏导治疗。,https://www.familydoctor.com.cn/q/18728999.html
精神心理科,抑郁症,抑郁症.现吃盐酸阿米替林片可长期服用吗,这个药物是可以用来长期服用治疗抑郁症的，具体的服药疗程需要根据个人的抑郁症的严重的程度来决定，患者注意自己不要在过程中擅自的更换剂量或者是断药或者是突然停药，具体的整个服药过程是需要医生指导的，所以建议定期的去复诊，以及随时和开药医师保持联系，具体反映病情接受指导调整。,https://www.familydoctor.com.cn/q/18725600.html
精神心理科,抑郁症,怀孕期间心情不好对宝宝有什么影响,这个通常对宝宝没有影响的，所以首先避免这种担忧，因为本身心情不好再加上这种担忧会形成更加焦虑的心理的，所以当感到心情不好的时候，把焦点放在调节心情上就可以了，怀孕期间调节情绪的方式也有很多，可以培养一些安静的兴趣爱好比如说看剧看书等，也可以加强一下与亲朋好友的交流沟通。,https://www.familydoctor.com.cn/q/18725468.html
