department,disease,question,answer,page_url,aaa,aaa,aaa,aaa,time
内科,肺炎,http://ask.39.net/question/66104786.html,做新型冠状肺炎核酸检测能否查出其它结核病，会显示阴阳吗，结果要多久？,新型冠状病毒核酸检测只是针对的这一病毒，并不能检测出结核杆菌，结核杆菌需要抗酸染色阳性才考虑是结核杆菌感染的可能，然后再结合肺部影像学检查和临床症状，另外培养出结核杆菌也可以直接确诊。如果怀疑结核还是到传染病医院呼吸科就诊。,洪占江,主治医师,高血压，冠心病心绞痛，慢性心功能衰竭，慢性支气管炎，慢阻肺等内科常见病多发病。,深州市中医医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104786.html,做新型冠状肺炎核酸检测能否查出其它结核病，会显示阴阳吗，结果要多久？,做新型冠状病毒肺炎核酸检测和结核病是没有关系的，结核病不会显示阳性的，一般核酸检测需要4到6个小时左右的，这样就可以明确是否感染新型冠状病毒。如果是出现了发烧，乏力，干咳，胸闷，而且接触过新冠肺炎病人或携带者，那就不能排除感染新型冠状病毒肺炎的，对身体的危害很大的，所以需要注意的。,王晋军,主治医师,主要擅长消化系统疾病，泌尿系统疾病,柳林县柳林镇卫生院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104729.html,做新冠肺炎核酸能查得出得过肺结核吗？,新型冠状病毒肺炎，它的主要诊断方法首先要结合临床症状，有无疫区人员接触史以及肺CT和咽试纸核酸检测等实验室检查，都是比较特征性临床表现。肺结核，它是需要通过痰找结核杆菌，也可以通过肺部CT来进一步鉴别的。一般还是需要通过专业的医疗机构进行检测。两者症状也不是非常的相似，进行冠状病毒多以干咳，放热，喉咙痛等症状，会出现呼吸困难，胸闷。呃，肺部结节主要是午后低热，同时伴有食欲减退消瘦，乏力。所以还是容易鉴别，主要还是通过实验室方面的检查。,陈德龙,主治医师,各种颈肩腰腿痛，头痛，胸痛，腹痛。子宫附件痛以及各种手术麻醉和术后疼痛诊疗。兼治胃肠病胃溃疡，心血管疾病心脏病，妇科疾病月经不调,金华市中心医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104729.html,做新冠肺炎核酸能查得出得过肺结核吗？,新型冠状病毒感染检查核酸监测并不是检查肺结核，并不能做出完全的判断。建议您身体如果有明确的发热症状，要到当地的指定发热门诊和医院来进行核酸抗体检查以及肺部的ct检查，这样才能做出综合的分析判断，根据不同的检查结果和疾病来选择其对应的治疗方案。,王云巧,医师,主要针对内科疾病的常见疾病诊断和治疗，如高血压，糖尿病，心脑血管病变。,衡水协和医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104729.html,做新冠肺炎核酸能查得出得过肺结核吗？,对于新冠肺炎的核酸检测，一般是不做结核抗体检查的，所以基本上是检查不出来肺结核的。对于目前如果想排除肺结核，可以行结核抗体以及PPD检测的，这样可以明确诊断是否是肺结核的情况。如果是肺结核需要积极抗结核规范治疗处理为宜的。,吴化忠,主治医师,儿科的常见病多发病，小儿急性上呼吸道感染，小儿营养不良，小儿厌食，小儿腹泻，佝偻病等。,安徽合肥肥东县人民医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104729.html,做新冠肺炎核酸能查得出得过肺结核吗？,做核酸不能检查肺结核的，肺结核需要做X片或者CT检查，以及做个痰培养等检查确诊是否得肺结核的。建议患者平时注意饮食，多吃一些新鲜的水果和蔬菜，以及含蛋白质高的食物，增加身体抵抗力，多喝水。注意保暖，以免受凉，减轻压力，保持心情舒畅，不要熬夜，多休息。,张璟,医师,十二指肠溃疡，糖尿病，高血压，慢性胃炎，食管炎，胃炎,大封社区医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104729.html,做新冠肺炎核酸能查得出得过肺结核吗？,做核酸检测是不能检查出来有肺结核的。但是做胸部ct检查可以判断是否曾经得过肺结核，所以通常建议做胸部ct检查。如果肺结核已经好了，那就不需要治疗。如果是怀疑新型冠状病毒肺炎，那就需要做胸部ct和核酸检测，明确诊断后针对性的治疗。,王晋军,主治医师,主要擅长消化系统疾病，泌尿系统疾病,柳林县柳林镇卫生院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104724.html,我前几天和朋友开车出去没穿羽绒服冻到了然后嗓子疼回家吃了两天药现在又开始觉得嗓子痒咳嗽今天在家有点冷怕发烧这是肺炎吗,这种情况考虑并不是肺部炎症的，嗓子感觉瘙痒首先考虑是上呼吸道感染而导致的咽喉部的炎症。建议注意监测体温，注意多饮水。这样的患者首先注意多饮水，不要吃辛辣刺激性的食物，同时使用含化的药物，如草珊瑚含片来进行治疗，不要随意使用抗生素。,李云华,主治医师,心理疾病，妇科疾病，内科疾病，儿科疾病,东营市河口区人民医院社区卫生服务中心,2020-03-01
内科,肺炎,http://ask.39.net/question/66104715.html,肺炎输10天水了，刚开始好点，这两天又难受了,肺炎治疗主要是明确具体炎症原因，可以分为细菌性和真菌性以及病毒性肺炎，根据目前疫情情况，主要还是排查一下是否存在新型冠状病毒肺炎可能，明确具体病原菌，选择敏感抗生素药物治疗效果才好。建议可以呼吸科或者发热定点医院检查咽试纸核酸试纸检查和肺部CT检查，同时结合临床症状如发热，咳嗽咳痰等对症雾化吸入，止咳化痰药物治疗，予退热治疗。主要还是注意保暖，增强抵抗力。,陈德龙,主治医师,各种颈肩腰腿痛，头痛，胸痛，腹痛。子宫附件痛以及各种手术麻醉和术后疼痛诊疗。兼治胃肠病胃溃疡，心血管疾病心脏病，妇科疾病月经不调,金华市中心医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104715.html,肺炎输10天水了，刚开始好点，这两天又难受了,肺炎虽然输液治疗的，但是因为由于炎症没有完全消除，可能还是会有出现有胸痛，出现咳嗽咳痰难受的现象。目前出现症状难受，说明可能病情加重了，建议再做一个ct检查，如果炎症比较重，可以选择用青霉素头孢等药物联合应用消除炎症治疗。,张丞,医师,从医时间多年，能处好好各种常见的疾病，,宜春市中医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104715.html,肺炎输10天水了，刚开始好点，这两天又难受了,肺部炎症反应出现咳嗽发热甚至有呼吸困难，要根据您的具体情况，是细菌还是支原体，衣原体或者病毒性的感染用药是有区别的。建议要呼吸内科来检查肺部的ct，或者是进行抽血做细菌培养，才能选择其敏感的抗菌药物，注意多饮水，促进其身体的新陈代谢，在1~2周可以得到恢复，也可以选择雾化吸入的方法。,王云巧,医师,主要针对内科疾病的常见疾病诊断和治疗，如高血压，糖尿病，心脑血管病变。,衡水协和医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104715.html,肺炎输10天水了，刚开始好点，这两天又难受了,肺炎首先要检查一下肺炎发生的原因，看一下患者到底是细菌还是病毒的感染，如果是细菌感染，需要早期足量的应用抗生素来进行治疗。肺炎的治疗有时可能需要输液时间相对延长，一直到患者肺部x线表现显示肺部阴影完全消失，才能够诊断为痊愈。,李云华,主治医师,心理疾病，妇科疾病，内科疾病，儿科疾病,东营市河口区人民医院社区卫生服务中心,2020-03-01
内科,肺炎,http://ask.39.net/question/66104715.html,肺炎输10天水了，刚开始好点，这两天又难受了,现在考虑是有肺炎，肺炎的发生与感染细菌，病毒，支原体有一定关系的，如果是普通的肺炎，认为是通过治疗后就可以控制疾病的，如果是新冠肺炎，那就需要隔离住院治疗一段时间才能好转的。需要根据肺炎的类型分析，然后针对性的治疗，一般通过治疗后就可以控制疾病的，也可以做个痰液细菌培养和药敏试验检查，然后选择敏感抗生素药物治疗。,王晋军,主治医师,主要擅长消化系统疾病，泌尿系统疾病,柳林县柳林镇卫生院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104180.html,为什么吐痰的时候痰里有血？,痰中带血考虑为支气管肺炎或者是支气管肿瘤性占位而引起的表现粘膜破裂出血引起的表现。建议要到呼吸内科或者是肿瘤医院来检查肺部的ct以及肿瘤标志物监测和痰液做细菌培养以及找肿瘤标志物，这样可以做出明确的判断来选择其抗菌药物应用或者是微创手术的治疗方式。,王云巧,医师,主要针对内科疾病的常见疾病诊断和治疗，如高血压，糖尿病，心脑血管病变。,衡水协和医院,2020-02-28
内科,肺炎,http://ask.39.net/question/66103739.html,肺炎检查要收费吗，还是免费的,一般出现肺炎大多都是由于细菌感染或者是病毒感染导致的这种情况，如果是做肺炎拍片的话，一般肺部会出现肺纹理增多以及一些异常改变的情况。一般肺炎检查的话，这个是收费的项目，并不是属于免费的项目，治疗和检查都是属于收费的。,朱加友,助理医师,颈椎病.肩周炎.腰椎间盘突出症.风湿性关节炎.面瘫.中风后遗症的诊断和治疗,阳谷县传染病医院,2020-02-28
内科,肺炎,http://ask.39.net/question/66102179.html,医生你好  我发烧39.8在医院检查了 不是肺炎  但是我吃药额头出很多水  身体却一直没反应 身体好烫而且也没退烧   我喝的是布洛芬混悬液,目前发烧比较严重，如果不是肺炎，那就有可能是病毒性感冒，急性扁桃体炎，急性咽喉炎，可能与感染病毒系中都是有密切的关系，所以出现了这些症状。需要尽快去医院做个全面的检查，然后针对性的治疗，如果是有病毒性感冒了，那就需要服用抗病毒颗粒，清开灵颗粒治疗比较好，发烧严重需要使用物理降温和布洛芬颗粒退烧。,王晋军,主治医师,主要擅长消化系统疾病，泌尿系统疾病,柳林县柳林镇卫生院,2020-02-27
内科,肺炎,http://ask.39.net/question/66097176.html,最近疫情闹得挺凶，我一个月都在家，但是昨天开始我感觉喉咙有点微肿的感觉，呼吸的时候锁骨周围包扩下一点里面有热燥，有点沉重，偶尔头部有小热，我想知道我是感染了肺炎还是别的什么病,你有可能是急性扁桃体炎或咽喉炎，不是肺炎的发生，认为是与上火，吃辛辣食物多有一定关系的，会出现了咽喉疼痛，咽喉部位不舒服，咳嗽痰多，反复发生。需要用利咽解毒颗粒，咽炎片治疗合适，如果是发烧，需要做个全面检查，明确疾病的类型，然后选择合适的方法治疗，一般都是可以恢复的。,王晋军,主治医师,主要擅长消化系统疾病，泌尿系统疾病,柳林县柳林镇卫生院,2020-02-26
内科,肺炎,http://ask.39.net/question/66096005.html,干咳一周左右。吸气的时候喉咙发痒会引起咳嗽，睡觉的时候不咳嗽，请问会是新冠肺炎吗,干咳，咽喉部瘙痒如果有去过疫区或者有感染病人接触史就要考虑新型冠状病毒感染性肺炎，如果没有接触史一般不考虑，这种情况可能是急性上呼吸道感染，急性支气管炎可能。建议去医院抽血查血常规，支原体，衣原体，病毒核酸检测，肺部CT等检查进一步明确，然后对症给予抗感染，抗炎，抗病毒，止咳化痰等治疗。,赵泽东,医师,擅长内科系统一些多发病常见病的诊疗，尤其是对于高血压、冠心病、心律失常、糖尿病等疾病有一定的诊疗经验。,盘州惠民医院,2020-02-26
内科,肺炎,http://ask.39.net/question/66093817.html,我以前得过肺炎，后来去医院输液治好了，今年过年之前胸部有点持续发热发胀，一天出现好多次，主要是干完活之后肺部明显发热发胀，然后去医院拍了ct，医生说回家吃药观察几天或者住院打针也行，由于考虑到疫情期间，我就没有选择住院回家吃头孢拉定胶囊，吃了大约14天左右，症状减轻了一些，一天大约只出现1~2次的发热发胀，这几天停药有一周时间，然后最近又出现胸部持续发热发胀，一天好多次，请问这种情况需要去医院治疗吗？还是继续吃头孢？最近还持续有痰，偶尔咳嗽，痰比较粘稠，请问是支气管引起的还是肺炎引起的？以后治疗主要是治疗支气管还是肺部炎症？,偶尔咳嗽，有痰，胸部发热发胀，考虑应该是支气管肺炎引起的症状，可以口服阿奇霉素，肺力咳合剂。建议患者平时注意饮食，禁忌油腻，辛辣，刺激性食物，最好低盐低脂，清淡饮食，多吃一些新鲜的水果和蔬菜，多喝水，注意保暖，以免受凉，尽量少活动，多休息。,张璟,医师,十二指肠溃疡，糖尿病，高血压，慢性胃炎，食管炎，胃炎,大封社区医院,2020-02-25
内科,肺炎,http://ask.39.net/question/66091698.html,我一个朋友出现了发热，我需要为他排除新冠肺炎或进一步确定是新冠肺炎的可能性，需要问的问题大概都问了，要考虑可能的原因有哪些？求分为几点告知！,发烧是好多原因可以引起的，有可能是病毒细菌或者真菌，结核感染等引起的。甲亢，中枢神经功能失调也可以的。如果是感染引起的，有可能会引起肺炎，出现发烧。可以先去医院验个血，还有胸部ct，确认一下原因。具体情况要咨询下主治医生，一般先检查这两项就可以的。,鲁磊,主治医师,急慢性支气管炎，支气管哮喘，阻塞性肺病，肺心病，肺炎，肺结核，冠心病，心绞痛，心肌梗塞，脑梗塞，脑出血等内科疾病,肃宁仁和医院,2020-02-23
内科,肺炎,http://ask.39.net/question/66091631.html,在徐州生的孩子没来得及办出生证明就出院了后来有点肺炎就在当地医院新生儿科住了十天的院住院时随便填了一个名字出院时必须农合出生证明和住院资料上面姓名一致才行不然不给保我想问一下能不能找医生把入院留的姓名给改了,首先个人建议你先确定一个孩子起的确切的名字，然后写在出生证明上，以后所有的办理相关手续都要根据出生证明上的名字来确定的。所以建议要根据孩子出生证明上的名字来决定的，以后尽量就不要再更改。更改一次要经过多个部门的，也要经过派出所的手续的。,李云华,主治医师,心理疾病，妇科疾病，内科疾病，儿科疾病,东营市河口区人民医院社区卫生服务中心,2020-02-23
内科,肺炎,http://ask.39.net/question/66090931.html,只发烧不咳嗽会是肺炎吗,只有发热没有咳嗽是新冠状病毒症状只有发烧没有咳嗽，也可能是新冠病毒的症状。有一些不典型的新型冠状病毒的感染者，可能仅仅表现为发烧，但前提是有流行病学史，比如和湖北人或者是武汉人密切的接触。所以根据自身情况还是进一步确诊检查下。,张建国,医师,nan,威县贺营镇大宁卫生院,2020-02-21
内科,肺炎,http://ask.39.net/question/66087900.html,嗓子痒痒，不太咳嗽，是肺炎的症状吗？,嗓子瘙痒伴咳嗽要考虑：急性上呼吸道感染，急性支气管炎，肺炎可能，是由于病毒或者细菌感染所致。建议去医院抽血查血常规，支原体，衣原体，血沉，胸片等检查进一步明确，然后对症给予抗感染，抗病毒，止咳化痰，抗炎等相关对症治疗，要注意保暖，避免受凉。,赵泽东,医师,擅长内科系统一些多发病常见病的诊疗，尤其是对于高血压、冠心病、心律失常、糖尿病等疾病有一定的诊疗经验。,盘州惠民医院,2020-02-20
内科,肺炎,http://ask.39.net/question/66087001.html,咳嗽有痰，体温，体力，食欲都正常，没用疫情接触，没接触过湖北人，去过超市，市场，公园，有可能是新冠肺炎吗,咳嗽，咳痰是呼吸感染性疾病常见的症状，虽然没有去过疫区，也没有感染患者接触史，但是有到外面走动，这种情况不能大意。建议去医院抽血查血常规，支原体，衣原体，病毒核酸检测，肺部CT等相关检查就进一步明确，然后对症给予抗感染，抗病毒，止咳化痰等治疗，要注意保暖，避免受凉。,赵泽东,医师,擅长内科系统一些多发病常见病的诊疗，尤其是对于高血压、冠心病、心律失常、糖尿病等疾病有一定的诊疗经验。,盘州惠民医院,2020-02-20
内科,肺炎,http://ask.39.net/question/66085964.html,我今天上午来姨妈，然后下午的时候开始全身发热出冷汗，额头都在出汗，脸色就很苍白，我爸以为我肺炎了，然后我整个人就很虚，很晕，脑壳晕，又很痛很难受，然后我爸就给我烧热水，泡板蓝根喝，后面又在网上问医生，然后又给我泡了两大杯红糖水，然后喝完了趴着很久然后睡着了，可能是因为我这两天熬夜加没吃早餐的原因,现在考虑为月经期间的身体虚弱而引起的表现。以及没有进食而引起的血糖过低的情况。建议现在要注意补充优质蛋白质和绿叶蔬菜，多饮水多休息，注意保暖，避免着凉，这样才能使身体恢复正常状态，如果有明显的发热症状，要到指定的发热门诊来进行诊断。,王云巧,医师,主要针对内科疾病的常见疾病诊断和治疗，如高血压，糖尿病，心脑血管病变。,衡水协和医院,2020-02-19
内科,肺炎,http://ask.39.net/question/66081805.html,灵方消毒液可以直接喷在手上吗？,如果是针对新型冠状肺炎的消毒，个人不建议使用这种消毒液新型冠状肺炎的消毒，在临床上一般是使用含氯的消毒液和75%的酒精。含氯的消毒液临床上一般就是使用84就可以，可以用于地面和墙面的喷洒消毒。75%的酒精可以用于喷洒门把手或者是所要接触的。不建议直接喷手上。,李盼盼,医师,甲状腺，乳腺疾病，胸外伤，肺癌，食管癌，肺大泡，胸腺瘤，气胸，胸壁肿物,培训机构盘锦市卫生局,2020-02-19
内科,肺炎,http://ask.39.net/question/66075649.html,出去菜市场买菜会不会感染肺炎？,菜市场如果说有新型冠状病毒的携带者密切接触的，那么可能也会引起病毒感染，因为新型冠状病毒是乙类传染病，按甲类处理，传染性还是很强的。主要还是通过飞沫传播和接触传播，所以只要病毒携带者留下病毒在物体上面，都可以通过接触进行传染的。所以去菜市场多，还需要带好口罩，勤洗手，这样还是尽可能的减少逗留，减少感染的机会。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075644.html,咳嗽是感染了新冠肺炎吗？,综合你的提问，目前爆发流行的新型冠状病毒感染引起的肺炎，属于呼吸道传染病，具有较强传染性，需要积极治疗隔离，由于新型冠状病毒属于首次发现，对其还没有完全认识，感染该病毒后可引起发热乏力，刺激性咳嗽症状，但是不能一出现咳嗽就诊断为。新型冠状病毒感染引起的肺炎，还见于普通感冒，支气管炎，肺结核等疾病。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075638.html,美国的“吹哨人保护法案”是什么？对于这次新冠肺炎疫情有什么意义？,《吹哨人保护法案》（WhistleblowerProtectionAct）--鼓励公民（包括公职人员）通过参与到旨在维护社会公正的行动中，特别是公职人员在其履职过程中，发现存在贪腐、影响公共利益、国家安全的行为，有权以告密（包括向媒体报料）的方式进行检举。吹哨人不仅不会受到泄密的指控，相反的，法案规定司法机构应该为他们及他们的家人提供各种保护。目前看有待进一步立法。,刘祥礼,主任医师,擅长各种内科疾病。,日照市中医医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075639.html,新冠肺炎患者，疫情好转的体征是怎样的？,新冠肺炎患者病情好转的体征是肺部干湿啰音减少，呼吸音粗糙减轻，呼吸频率降低，就认为是好转了，好转后干咳症状减轻，呼吸困难明显缓解。如果是感染了新型冠状病毒肺炎，确诊后需要住院治疗合适，住院综合治疗，一般通过治疗后就可以控制疾病的，尽可能的避免发生呼吸衰竭。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075632.html,刺激性咳嗽，喉咙痒是肺炎的表现吗？,这个不一定是肺炎的表现，出现了刺激性咳嗽，咽痒，认为是有咽炎，过敏性咳嗽，影响了正常的生活，认为是与吃辛辣食物多，细菌感染有一定关系的。需要去医院做个详细检查，如果是有咽炎的发生，需要用利咽解毒颗粒，咽炎片治疗合适，如果是有过敏性皮炎，需要用抗过敏的药物治疗的，这样就可以控制疾病的。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075628.html,农村和城市，哪里更容易感染新冠肺炎？为什么？,综合你的提问，目前爆发流行的新型冠状病毒感染引起的肺炎，属于呼吸道传染病，具有较强传染性，需要积极治疗隔离，由于新型冠状病毒属于首次发现，对其还没有完全认识，就目前掌握的资料来看，人流量越多，空气越差的地方越容易传染。农村相对开阔一些，人流动也小一些，所以感染的几率要小得多。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075625.html,新冠肺炎患者的病好转有哪些特征？,疾病好转的特征有体温正常，干咳消失，无呼吸困难和胸闷，根据具体的情况分析，如果是感染新型冠状病毒肺炎，那就需要住院治疗合适，这样才能好转的。需要根据具体的情况分析，如果是有疾病的发生，积极的治疗，通过治疗后就可以控制疾病的，如果是有发烧，需要用退烧药物和物理降温治疗。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
内科,肺炎,http://ask.39.net/question/66075624.html,总是感觉嗓子有东西，咳不出来咽不下去，是新冠肺炎的症状吗？,考虑是因为感冒引起的可能性较大，如果没有去过武汉、没有接触到疫区人员，考虑是普通感冒。感冒是一种自限性疾病，大多数可以自愈，先进行多喝开水、注意保暖、避免受凉，如果症状无改善的话，再考虑吃药治疗。可以服用双黄连颗粒。同时饮食宜清淡。,赵曙光,副主任医师,呼吸困难综合救治、创伤性/或非创伤性急症出血的微创介入治疗、急性中毒一体化救治等。,太和县人民医院,2020-02-17
